iter	Passed	Remaining
0	2	2055
1	3	1699
2	4	1589
3	6	1623
4	8	1687
5	9	1613
6	10	1527
7	11	1463
8	12	1410
9	13	1358
10	15	1387
11	16	1350
12	17	1318
13	18	1285
14	19	1267
15	20	1236
16	20	1211
17	21	1187
18	22	1164
19	23	1149
20	24	1126
21	25	1114
22	25	1099
23	26	1083
24	27	1068
25	28	1049
26	28	1032
27	29	1020
28	30	1009
29	30	998
30	31	986
31	32	976
32	32	965
33	33	956
34	34	951
35	35	947
36	36	939
37	36	933
38	37	927
39	38	920
40	39	914
41	39	906
42	40	899
43	41	891
44	41	884
45	42	878
46	43	875
47	43	869
48	44	864
49	45	859
50	46	855
51	46	852
52	47	848
53	48	845
54	49	856
55	50	854
56	51	852
57	52	849
58	52	845
59	53	842
60	54	837
61	55	834
62	55	830
63	56	826
64	57	822
65	57	818
66	58	815
67	59	811
68	59	807
69	60	804
70	61	801
71	61	798
72	62	794
73	63	791
74	63	788
75	64	784
76	65	781
77	65	778
78	66	775
79	67	771
80	67	768
81	68	766
82	69	762
83	69	760
84	70	758
85	71	755
86	71	752
87	72	749
88	72	746
89	73	743
90	74	740
91	74	737
92	75	733
93	75	731
94	76	728
95	76	725
96	77	721
97	78	719
98	78	715
99	79	712
100	79	709
101	80	707
102	81	709
103	82	706
104	82	704
105	83	703
106	84	702
107	84	701
108	85	699
109	86	697
110	87	697
111	87	696
112	88	694
113	88	691
114	89	688
115	90	687
116	90	684
117	91	682
118	91	680
119	92	678
120	93	675
121	93	674
122	94	671
123	94	669
124	95	667
125	96	666
126	96	664
127	98	667
128	98	666
129	99	665
130	100	664
131	100	662
132	101	662
133	102	660
134	102	658
135	103	657
136	104	655
137	104	653
138	105	651
139	106	651
140	106	649
141	107	647
142	107	645
143	108	643
144	108	642
145	109	639
146	109	637
147	110	635
148	110	633
149	111	630
150	111	628
151	112	626
152	112	623
153	113	622
154	113	620
155	114	619
156	115	617
157	115	615
158	116	614
159	116	612
160	117	611
161	117	609
162	118	609
163	119	608
164	119	606
165	120	604
166	121	604
167	121	603
168	122	602
169	123	601
170	123	600
171	124	598
172	124	597
173	125	595
174	126	594
175	126	593
176	127	593
177	128	593
178	128	591
179	129	590
180	129	587
181	130	586
182	131	584
183	131	583
184	132	582
185	132	581
186	133	581
187	134	580
188	135	579
189	135	577
190	136	577
191	136	575
192	137	574
193	137	572
194	138	571
195	139	570
196	139	569
197	140	567
198	140	567
199	141	566
200	142	566
201	142	564
202	143	564
203	144	562
204	144	561
205	145	560
206	146	561
207	147	561
208	148	560
209	148	559
210	149	557
211	149	556
212	150	556
213	151	554
214	151	553
215	152	552
216	153	552
217	153	551
218	154	549
219	154	548
220	155	547
221	155	546
222	156	545
223	157	544
224	157	542
225	158	541
226	158	540
227	159	539
228	160	538
229	160	537
230	161	536
231	161	535
232	162	534
233	163	533
234	163	532
235	164	531
236	165	531
237	165	531
238	166	530
239	167	529
240	167	528
241	168	527
242	169	527
243	169	526
244	170	524
245	170	523
246	171	522
247	171	521
248	172	519
249	173	519
250	173	518
251	174	517
252	174	516
253	175	515
254	176	514
255	176	513
256	177	512
257	177	511
258	178	510
259	179	509
260	179	508
261	180	507
262	180	507
263	181	506
264	182	506
265	183	505
266	184	505
267	184	504
268	185	503
269	185	502
270	186	501
271	186	500
272	187	499
273	188	498
274	188	497
275	189	496
276	190	497
277	191	496
278	191	495
279	192	494
280	192	493
281	193	492
282	193	491
283	194	491
284	195	490
285	195	488
286	196	487
287	196	486
288	197	485
289	198	484
290	198	484
291	199	483
292	199	482
293	200	481
294	201	480
295	201	479
296	202	479
297	203	478
298	203	477
299	204	476
300	205	476
301	205	475
302	206	474
303	207	473
304	207	472
305	207	471
306	208	470
307	209	469
308	209	469
309	210	468
310	211	467
311	211	467
312	212	466
313	213	465
314	214	465
315	214	465
316	215	464
317	215	463
318	216	463
319	217	462
320	218	461
321	218	460
322	219	459
323	219	458
324	220	458
325	221	457
326	221	456
327	222	455
328	222	454
329	223	453
330	223	452
331	224	451
332	224	450
333	225	449
334	226	448
335	226	448
336	227	447
337	227	446
338	228	445
339	229	444
340	229	443
341	230	442
342	230	442
343	231	441
344	232	440
345	232	439
346	233	439
347	233	438
348	234	437
349	235	436
350	235	436
351	236	435
352	237	435
353	238	434
354	238	433
355	239	432
356	239	432
357	240	431
358	241	430
359	241	429
360	242	428
361	243	428
362	243	427
363	244	427
364	244	426
365	245	425
366	246	424
367	246	423
368	247	423
369	248	422
370	248	421
371	249	420
372	249	420
373	250	419
374	251	418
375	251	418
376	252	417
377	253	416
378	253	415
379	254	414
380	254	414
381	255	413
382	256	412
383	256	411
384	257	410
385	257	410
386	258	409
387	258	408
388	259	408
389	260	407
390	261	406
391	261	406
392	262	405
393	262	404
394	263	403
395	264	402
396	264	402
397	265	401
398	265	400
399	266	399
400	267	399
401	267	398
402	268	397
403	269	396
404	269	396
405	270	395
406	271	394
407	271	394
408	272	393
409	272	392
410	273	391
411	274	391
412	274	390
413	275	389
414	275	388
415	276	387
416	276	387
417	277	386
418	277	385
419	278	384
420	279	383
421	279	382
422	280	382
423	280	381
424	281	380
425	281	379
426	282	378
427	282	378
428	283	377
429	284	376
430	284	375
431	285	375
432	285	374
433	286	373
434	287	372
435	287	372
436	288	371
437	288	370
438	289	369
439	289	368
440	290	368
441	290	367
442	291	366
443	292	365
444	292	364
445	293	364
446	293	363
447	294	362
448	294	361
449	295	361
450	296	360
451	296	359
452	297	359
453	298	358
454	298	357
455	299	356
456	299	356
457	300	355
458	301	355
459	301	354
460	302	353
461	303	352
462	303	351
463	304	351
464	304	350
465	305	349
466	306	349
467	306	348
468	307	347
469	307	346
470	308	346
471	308	345
472	309	344
473	310	344
474	311	343
475	311	343
476	312	342
477	312	341
478	313	340
479	313	339
480	314	339
481	315	338
482	315	337
483	316	337
484	316	336
485	317	335
486	318	335
487	318	334
488	319	333
489	320	333
490	321	332
491	321	332
492	322	331
493	322	330
494	323	329
495	323	329
496	324	328
497	325	327
498	325	327
499	326	326
500	326	325
501	327	324
502	328	324
503	329	323
504	329	323
505	330	322
506	331	322
507	331	321
508	332	320
509	333	320
510	333	319
511	334	318
512	334	317
513	335	317
514	336	316
515	337	316
516	337	315
517	338	314
518	339	314
519	339	313
520	340	313
521	340	312
522	341	311
523	342	310
524	343	310
525	343	309
526	344	308
527	344	308
528	345	307
529	345	306
530	346	306
531	347	305
532	347	304
533	348	304
534	349	303
535	349	302
536	350	301
537	350	301
538	351	300
539	351	299
540	352	298
541	352	297
542	353	297
543	353	296
544	354	295
545	354	295
546	355	294
547	356	293
548	356	292
549	357	292
550	357	291
551	358	291
552	359	290
553	359	289
554	360	289
555	361	288
556	361	287
557	362	286
558	362	286
559	363	285
560	364	285
561	364	284
562	365	283
563	365	282
564	366	282
565	367	281
566	367	280
567	368	280
568	368	279
569	369	278
570	370	278
571	370	277
572	371	276
573	371	275
574	372	275
575	373	274
576	373	273
577	374	273
578	374	272
579	375	271
580	376	271
581	376	270
582	377	269
583	378	269
584	378	268
585	379	267
586	379	267
587	380	266
588	381	265
589	381	265
590	382	264
591	382	263
592	383	262
593	383	262
594	384	261
595	385	260
596	385	260
597	386	259
598	386	258
599	387	258
600	387	257
601	388	256
602	388	255
603	389	255
604	389	254
605	390	253
606	390	253
607	391	252
608	392	251
609	392	250
610	392	250
611	393	249
612	394	248
613	394	248
614	395	247
615	395	246
616	396	246
617	397	245
618	397	244
619	398	244
620	399	243
621	399	242
622	400	242
623	400	241
624	401	241
625	402	240
626	402	239
627	403	239
628	404	238
629	404	237
630	405	237
631	406	236
632	406	235
633	407	235
634	407	234
635	408	233
636	409	233
637	409	232
638	410	231
639	411	231
640	411	230
641	412	230
642	413	229
643	413	228
644	414	228
645	415	227
646	416	227
647	416	226
648	417	225
649	418	225
650	418	224
651	419	223
652	419	223
653	420	222
654	421	221
655	421	221
656	422	220
657	422	219
658	423	219
659	423	218
660	424	217
661	425	217
662	425	216
663	426	215
664	426	214
665	427	214
666	428	213
667	428	213
668	429	212
669	430	211
670	430	211
671	431	210
672	431	209
673	432	209
674	432	208
675	433	207
676	433	207
677	434	206
678	435	205
679	435	205
680	436	204
681	436	203
682	437	203
683	438	202
684	438	201
685	439	201
686	439	200
687	440	199
688	441	199
689	441	198
690	442	197
691	443	197
692	444	196
693	444	196
694	445	195
695	445	194
696	446	193
697	446	193
698	447	192
699	447	191
700	448	191
701	448	190
702	449	189
703	450	189
704	450	188
705	451	188
706	452	187
707	452	186
708	453	186
709	453	185
710	454	184
711	454	183
712	455	183
713	455	182
714	456	181
715	456	181
716	457	180
717	458	179
718	458	179
719	459	178
720	459	177
721	460	177
722	461	176
723	462	176
724	462	175
725	463	174
726	464	174
727	465	173
728	465	173
729	466	172
730	466	171
731	467	171
732	468	170
733	468	169
734	469	169
735	470	168
736	470	167
737	471	167
738	471	166
739	472	166
740	473	165
741	473	164
742	474	164
743	474	163
744	475	162
745	476	162
746	476	161
747	477	160
748	477	160
749	478	159
750	478	158
751	479	158
752	479	157
753	480	156
754	480	156
755	481	155
756	481	154
757	482	153
758	482	153
759	483	152
760	483	151
761	484	151
762	484	150
763	485	149
764	485	149
765	486	148
766	487	147
767	487	147
768	488	146
769	488	145
770	489	145
771	489	144
772	490	144
773	490	143
774	491	142
775	492	142
776	492	141
777	493	140
778	493	139
779	493	139
780	494	138
781	495	137
782	495	137
783	496	136
784	496	136
785	497	135
786	497	134
787	498	134
788	498	133
789	499	132
790	499	132
791	500	131
792	500	130
793	501	130
794	501	129
795	502	128
796	502	128
797	503	127
798	503	126
799	504	126
800	504	125
801	504	124
802	505	124
803	506	123
804	506	122
805	507	122
806	508	121
807	508	120
808	509	120
809	509	119
810	510	118
811	510	118
812	511	117
813	511	116
814	512	116
815	512	115
816	513	114
817	513	114
818	514	113
819	514	113
820	515	112
821	515	111
822	516	111
823	517	110
824	517	109
825	518	109
826	518	108
827	519	107
828	519	107
829	520	106
830	520	105
831	521	105
832	521	104
833	522	103
834	522	103
835	523	102
836	523	102
837	524	101
